CP_NAME
W[aàâ]vr[eèéêë] 1300
W[aàâ]v[eèéêë]r 1300
1301 W[aàâ]vr[eèéêë]
1301 W[aàâ]v[eèéêë]r
W[aàâ]vr[eèéêë] 1301
W[aàâ]v[eèéêë]r 1301
1310 L[aàâ] H[uûü]lp[eèéêë]
1310 T[eèéêë]rh[uûü]lp[eèéêë]n
L[aàâ] H[uûü]lp[eèéêë] 1310
T[eèéêë]rh[uûü]lp[eèéêë]n 1310
1315 In[cç]o[uûü]rt
In[cç]o[uûü]rt 1315
1320 B[eèéêë][aàâ][uûü]v[eèéêë][cç]h[aàâ]in
1320 B[eèéêë]v[eèéêë]kom
B[eèéêë][aàâ][uûü]v[eèéêë][cç]h[aàâ]in 1320
B[eèéêë]v[eèéêë]kom 1320
1325 Ch[aàâ][uûü]mont[- ]Gisto[uûü]x
Ch[aàâ][uûü]mont[- ]Gisto[uûü]x 1325
1330 Rix[eèéêë]ns[aàâ]rt
Rix[eèéêë]ns[aàâ]rt 1330
1331 Rix[eèéêë]ns[aàâ]rt
Rix[eèéêë]ns[aàâ]rt 1331
1332 Rix[eèéêë]ns[aàâ]rt
Rix[eèéêë]ns[aàâ]rt 1332
1340 Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë]
Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë] 1340
1341 Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë]
Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë] 1341
1342 Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë]
Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë] 1342
1348 Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë]
Ottigni[eèéêë]s[- ]Lo[uûü]v[aàâ]in[- ]l[aàâ][- ]N[eèéêë][uûü]v[eèéêë] 1348
1350 Orp[- ]J[aàâ][uûü][cç]h[eèéêë]
Orp[- ]J[aàâ][uûü][cç]h[eèéêë] 1350
1357 H[eèéêë]l[eèéêë][cç]in[eèéêë]
H[eèéêë]l[eèéêë][cç]in[eèéêë] 1357
1360 P[eèéêë]rw[eèéêë]z
1360 P[eèéêë]rwijs
P[eèéêë]rw[eèéêë]z 1360
P[eèéêë]rwijs 1360
1367 R[aàâ]milli[eèéêë]s
R[aàâ]milli[eèéêë]s 1367
1370 Jodoign[eèéêë]
1370 G[eèéêë]ld[eèéêë]n[aàâ]k[eèéêë]n
Jodoign[eèéêë] 1370
G[eèéêë]ld[eèéêë]n[aàâ]k[eèéêë]n 1370
1380 L[aàâ]sn[eèéêë]
L[aàâ]sn[eèéêë] 1380
1390 Gr[eèéêë]z[- ]Doi[cç][eèéêë][aàâ][uûü]
1390 Gr[aàâ]v[eèéêë]n
Gr[eèéêë]z[- ]Doi[cç][eèéêë][aàâ][uûü] 1390
Gr[aàâ]v[eèéêë]n 1390
1400 Niv[eèéêë]ll[eèéêë]s
1400 Nijv[eèéêë]l
Niv[eèéêë]ll[eèéêë]s 1400
Nijv[eèéêë]l 1400
1401 Niv[eèéêë]ll[eèéêë]s
1401 Nijv[eèéêë]l
Niv[eèéêë]ll[eèéêë]s 1401
Nijv[eèéêë]l 1401
1402 Niv[eèéêë]ll[eèéêë]s
1402 Nijv[eèéêë]l
Niv[eèéêë]ll[eèéêë]s 1402
Nijv[eèéêë]l 1402
1404 Niv[eèéêë]ll[eèéêë]s
1404 Nijv[eèéêë]l
Niv[eèéêë]ll[eèéêë]s 1404
Nijv[eèéêë]l 1404
1410 W[aàâ]t[eèéêë]rloo
W[aàâ]t[eèéêë]rloo 1410
1420 Br[aàâ]in[eèéêë][- ]l’All[eèéêë][uûü]d
1420 Eig[eèéêë]nbr[aàâ]k[eèéêë]l
Br[aàâ]in[eèéêë][- ]l’All[eèéêë][uûü]d 1420
Eig[eèéêë]nbr[aàâ]k[eèéêë]l 1420
1421 Br[aàâ]in[eèéêë][- ]l’All[eèéêë][uûü]d
1421 Eig[eèéêë]nbr[aàâ]k[eèéêë]l
Br[aàâ]in[eèéêë][- ]l’All[eèéêë][uûü]d 1421
Eig[eèéêë]nbr[aàâ]k[eèéêë]l 1421
1428 Br[aàâ]in[eèéêë][- ]l’All[eèéêë][uûü]d
1428 Eig[eèéêë]nbr[aàâ]k[eèéêë]l
Br[aàâ]in[eèéêë][- ]l’All[eèéêë][uûü]d 1428
Eig[eèéêë]nbr[aàâ]k[eèéêë]l 1428
1430 R[eèéêë]b[eèéêë][cç]q
R[eèéêë]b[eèéêë][cç]q 1430
1435 Mont[- ]S[aàâ]int[- ]G[uûü]ib[eèéêë]rt
Mont[- ]S[aàâ]int[- ]G[uûü]ib[eèéêë]rt 1435
